type	type_desc	name	Column1
IT	INTERNAL_TABLE	_trusted_assemblies	1
IT	INTERNAL_TABLE	external_library_setup_failures	1
IT	INTERNAL_TABLE	persistent_version_store	1
IT	INTERNAL_TABLE	persistent_version_store_long_term	1
IT	INTERNAL_TABLE	plan_persist_context_settings	1
IT	INTERNAL_TABLE	plan_persist_plan	1
IT	INTERNAL_TABLE	plan_persist_query	1
IT	INTERNAL_TABLE	plan_persist_query_hints	1
IT	INTERNAL_TABLE	plan_persist_query_template_parameterization	1
IT	INTERNAL_TABLE	plan_persist_query_text	1
IT	INTERNAL_TABLE	plan_persist_runtime_stats	1
IT	INTERNAL_TABLE	plan_persist_runtime_stats_interval	1
IT	INTERNAL_TABLE	plan_persist_wait_stats	1
IT	INTERNAL_TABLE	queue_messages_1003150619	1
IT	INTERNAL_TABLE	queue_messages_1035150733	1
IT	INTERNAL_TABLE	queue_messages_1067150847	1
IT	INTERNAL_TABLE	sqlagent_job_history	1
IT	INTERNAL_TABLE	sqlagent_jobs	1
IT	INTERNAL_TABLE	sqlagent_jobsteps	1
IT	INTERNAL_TABLE	sqlagent_jobsteps_logs	1
IT	INTERNAL_TABLE	syscommittab	1
IT	INTERNAL_TABLE	tbl_server_resource_stats	1
P 	SQL_STORED_PROCEDURE	sp_MScleanupmergepublisher	1
P 	SQL_STORED_PROCEDURE	sp_MSrepl_startup	1
PK	PRIMARY_KEY_CONSTRAINT	PK__tbl_samp__3213E83FBC54D049	1
S 	SYSTEM_TABLE	sysallocunits	1
S 	SYSTEM_TABLE	sysasymkeys	1
S 	SYSTEM_TABLE	sysaudacts	1
S 	SYSTEM_TABLE	sysbinobjs	1
S 	SYSTEM_TABLE	sysbinsubobjs	1
S 	SYSTEM_TABLE	sysbrickfiles	1
S 	SYSTEM_TABLE	syscerts	1
S 	SYSTEM_TABLE	syschildinsts	1
S 	SYSTEM_TABLE	sysclones	1
S 	SYSTEM_TABLE	sysclsobjs	1
S 	SYSTEM_TABLE	syscolpars	1
S 	SYSTEM_TABLE	syscompfragments	1
S 	SYSTEM_TABLE	sysconvgroup	1
S 	SYSTEM_TABLE	syscscolsegments	1
S 	SYSTEM_TABLE	syscsdictionaries	1
S 	SYSTEM_TABLE	syscsrowgroups	1
S 	SYSTEM_TABLE	sysdbfiles	1
S 	SYSTEM_TABLE	sysdbfrag	1
S 	SYSTEM_TABLE	sysdbreg	1
S 	SYSTEM_TABLE	sysdercv	1
S 	SYSTEM_TABLE	sysdesend	1
S 	SYSTEM_TABLE	sysendpts	1
S 	SYSTEM_TABLE	sysextendedrecoveryforks	1
S 	SYSTEM_TABLE	sysextfileformats	1
S 	SYSTEM_TABLE	sysextsources	1
S 	SYSTEM_TABLE	sysexttables	1
S 	SYSTEM_TABLE	sysfgfrag	1
S 	SYSTEM_TABLE	sysfiles1	1
S 	SYSTEM_TABLE	sysfoqueues	1
S 	SYSTEM_TABLE	sysfos	1
S 	SYSTEM_TABLE	sysftinds	1
S 	SYSTEM_TABLE	sysftproperties	1
S 	SYSTEM_TABLE	sysftsemanticsdb	1
S 	SYSTEM_TABLE	sysftstops	1
S 	SYSTEM_TABLE	sysguidrefs	1
S 	SYSTEM_TABLE	sysidxstats	1
S 	SYSTEM_TABLE	sysiscols	1
S 	SYSTEM_TABLE	syslnklgns	1
S 	SYSTEM_TABLE	syslogshippers	1
S 	SYSTEM_TABLE	sysmatrixageforget	1
S 	SYSTEM_TABLE	sysmatrixages	1
S 	SYSTEM_TABLE	sysmatrixbricks	1
S 	SYSTEM_TABLE	sysmatrixconfig	1
